symbol,entry_date,exit_date,entry_price,exit_price,qty,net_pnl,exit_reason,holding_days
SAB,2022-04-25,2022-04-29,69574.12,65838.23,1400,-5704194.0,STOP,4
FPT,2022-05-31,2022-06-13,57857.96,54558.31,1700,-6087177.0,STOP,13
GAS,2022-06-02,2022-06-22,81494.94,76205.31,900,-5115495.0,STOP,20
SAB,2022-07-22,2022-07-29,67435.89,74315.33,1400,9135081.0,TP,7
FPT,2022-08-16,2022-08-19,55456.31,53883.36,900,-1661672.0,STOP,3
HDB,2022-08-22,2022-08-29,10969.94,10641.57,4600,-1759040.0,STOP,7
GAS,2022-08-24,2022-09-07,80136.7,76611.58,500,-1958491.0,STOP,14
BID,2022-08-02,2022-09-08,27997.02,26615.82,3500,-5312072.0,STOP,37
MBB,2022-08-30,2022-09-08,12889.46,12539.54,3300,-1364541.0,STOP,9
VCB,2022-08-04,2022-09-23,44701.03,43164.9,1700,-2984847.0,STOP,50
SAB,2022-08-08,2022-09-28,75413.08,71969.6,800,-3049551.0,STOP,51
SAB,2022-10-19,2022-10-24,78126.96,74957.51,1200,-4262584.0,STOP,5
SAB,2022-11-15,2022-11-17,80141.82,76464.98,1100,-4475194.0,STOP,2
VIC,2022-12-08,2022-12-12,37200.0,34737.91,1600,-4227090.0,STOP,4
CTG,2022-12-05,2022-12-26,17428.69,16216.51,4200,-5444424.0,STOP,21
VCB,2023-01-04,2023-01-19,46612.77,53204.77,1500,9513679.0,TP,15
CTG,2023-01-09,2023-03-01,17550.99,16697.79,3300,-3098129.0,STOP,51
FPT,2023-01-11,2023-03-07,50153.97,49343.02,900,-953726.0,SELL,55
VCB,2023-01-31,2023-03-20,50548.71,48093.88,900,-2431292.0,STOP,48
TPB,2023-03-20,2023-06-05,11664.84,13791.94,4000,8253818.0,TP,77
SSI,2023-06-06,2023-06-16,18884.93,21151.76,2500,5416860.0,TP,10
TCB,2023-06-19,2023-07-06,14897.96,14403.08,3300,-1874844.0,STOP,17
BID,2022-11-28,2023-07-26,29012.45,34833.66,3200,18117093.0,TP,240
ACB,2023-01-11,2023-08-01,14152.35,15948.71,2600,4474894.0,TP,202
BID,2023-08-02,2023-08-10,34960.0,33886.15,1600,-1993546.0,STOP,8
MBB,2023-07-27,2023-08-18,11801.66,11521.29,5200,-1761113.0,STOP,22
GAS,2023-08-11,2023-08-18,69134.87,67622.1,800,-1483728.0,STOP,7
POW,2023-03-03,2023-08-28,10714.29,10588.24,4500,-806882.0,SELL,178
FPT,2023-08-21,2023-08-28,61622.63,66756.31,900,4331453.0,TP,7
VIC,2023-08-21,2023-08-30,33000.0,30927.67,2000,-4464293.0,STOP,9
GAS,2023-08-29,2023-08-31,71746.9,70102.06,700,-1399625.0,STOP,2
TCB,2023-09-06,2023-09-18,16042.2,15570.29,3500,-1928282.0,STOP,12
SSI,2023-08-28,2023-09-25,25310.5,24049.27,2100,-2907728.0,STOP,28
PDR,2023-08-31,2023-09-26,22407.41,21049.11,2500,-3667359.0,STOP,26
GAS,2023-09-21,2023-09-27,77145.68,74742.51,700,-1948019.0,STOP,6
VCB,2023-07-10,2023-10-03,58982.87,57079.27,800,-1754999.0,STOP,85
PDR,2023-10-16,2023-10-18,24074.07,22296.22,3500,-6628214.0,STOP,2
FPT,2023-10-17,2023-10-19,71248.74,68585.3,900,-2711720.0,STOP,2
HDB,2023-03-31,2023-11-08,9805.83,11154.38,4700,6091900.0,TP,222
HDB,2023-11-09,2023-11-17,11397.31,11025.76,8200,-3506377.0,STOP,8
ACB,2023-11-16,2023-11-20,16033.83,15594.76,3700,-1917137.0,STOP,4
HDB,2023-11-21,2023-11-23,11306.85,10910.73,6800,-3071352.0,STOP,2
